school,city,region,conference,division
King's College – Pennsylvania,"Wilkes-Barre, Pennsylvania",North East,Division III Independents,NCAA D3
Knox College,"Galesburg, Illinois",Great Lakes,Midwest Conference,NCAA D3
La Roche,"Pittsburgh, Pennsylvania",North East,Division III Independents,NCAA D3
LaGrange College,"LaGrange, Georgia",South East,USA South Athletic Conference,NCAA D3
Lake Forest College,"Lake Forest, Illinois",Great Lakes,Midwest Conference,NCAA D3
Lakeland,"Plymouth, Wisconsin",Great Lakes,Northern Athletics Collegiate Conference,NCAA D3
Lancaster Bible College,"Lancaster, Pennsylvania",North East,United East Conference ,NCAA D3
Lasell,"Newton, Massachusetts",New England,Great Northeast Athletic Conference,NCAA D3
Lawrence,"Appleton, Wisconsin",Great Lakes,Midwest Conference,NCAA D3
Lebanon Valley College,"Annville, Pennsylvania",North East,Middle Atlantic Conference ,NCAA D3
Lesley,"Cambridge, Massachusetts",New England,New England Collegiate Conference,NCAA D3
Lewis & Clark College,"Portland, Oregon",West Coast,Northwest Conference,NCAA D3
Linfield,"McMinnville, Oregon",West Coast,Northwest Conference,NCAA D3
Loras College,"Dubuque, Iowa",Mid West,Iowa Intercollegiate Athletic Conference,NCAA D3
Luther College,"Decorah, Iowa",Mid West,Iowa Intercollegiate Athletic Conference,NCAA D3
Lycoming College,"Williamsport, Pennsylvania",North East,Middle Atlantic Conferences,NCAA D3
Macalester College,"Saint Paul, Minnesota",Mid West,Midwest Conference,NCAA D3
Maine Maritime Academy,"Castine, Maine",New England,New England Women's & Men's Athletic Conference,NCAA D3
Manchester,"North Manchester, Indiana",Great Lakes,Heartland Collegiate Athletic Conference,NCAA D3
Manhattanville College,"Purchase, New York",North East,MAC Freedom Conference,NCAA D3
Maranatha Baptist,"Watertown, Wisconsin",Great Lakes,Independent Midwest Region,NCAA D3
Marian – Wisconsin,"Fond du Lac, Wisconsin",Great Lakes,Northern Athletics Collegiate Conference,NCAA D3
Marietta College,"Marietta, Ohio",Great Lakes,Ohio Athletic Conference,NCAA D3
Martin Luther College,"New Ulm, Minnesota",Mid West,Upper Midwest Athletic Conference,NCAA D3
Mary Baldwin,"Staunton, Virginia",Mid East,USA South Athletic Conference,NCAA D3
Marymount,"Arlington, Virginia",Mid East,Capital Athletic Conference,NCAA D3
Maryville College,"Maryville, Tennessee",Mid East,USA South Athletic Conference,NCAA D3
Marywood,"Scranton, Pennsylvania",North East,Colonial States Athletic Conference,NCAA D3
Massachusetts College of Liberal Arts,"North Adams, Massachusetts",New England,Massachusetts State Collegiate Athletic Conference,NCAA D3
Massachusetts Institute of Technology – MIT,"Cambridge, Massachusetts",New England,New England Women's & Men's Athletic Conference,NCAA D3
McDaniel College,"Westminster, Maryland",North East,Centennial Conference,NCAA D3
McMurry,"Abilene, Texas",Mid South,American Southwest Conference,NCAA D3
Medaille College,"Buffalo, New York",North East,Allegheny Mountain Collegiate Conference,NCAA D3
Messiah,"Mechanicsburg, Pennsylvania",North East,Middle Atlantic Conference,NCAA D3
Methodist,"Fayetteville, North Carolina",Mid East,USA South Athletic Conference,NCAA D3
Middlebury College,"Middlebury, Vermont",New England,New England Small College Athletic Conference,NCAA D3
Millikin,"Decatur, Illinois",Great Lakes,College Conference of Illinois and Wisconsin,NCAA D3
Millsaps College,"Jackson, Mississippi",Mid South,Southern Athletic Association,NCAA D3
Milwaukee School of Engineering,"Milwaukee, Wisconsin",Great Lakes,Northern Athletics Collegiate Conference,NCAA D3
Misericordia,"Dallas, Pennsylvania",North East,Middle Atlantic Conferences,NCAA D3
Mitchell College,"New London, Connecticut",New England,New England Collegiate Conference,NCAA D3
Monmouth College,"Monmouth, Illinois",Great Lakes,Midwest Conference,NCAA D3
Montclair State,"Montclair, New Jersey",North East,New Jersey Athletic Conference,NCAA D3
Moravian,"Bethlehem, Pennsylvania",North East,Centennial Conference,NCAA D3
Mount Aloysius College,"Cresson, Pennsylvania",North East,Allegheny Mountain Collegiate Conference,NCAA D3
Mount Saint Mary College – New York,"Newburgh, New York",North East,Skyline Conference,NCAA D3
Mount St. Joseph,"Cincinnati, Ohio",Great Lakes,Heartland Collegiate Athletic Conference,NCAA D3
Muhlenberg College,"Allentown, Pennsylvania",North East,Centennial Conference,NCAA D3
Muskingum,"New Concord, Ohio",Great Lakes,Ohio Athletic Conference,NCAA D3
Nazareth College,"Rochester, New York",North East,Empire 8 Athletic Conference,NCAA D3
Nebraska Wesleyan,"Lincoln, Nebraska",Mid West,Iowa Intercollegiate Athletic Conference,NCAA D3
Neumann,"Aston, Pennsylvania",North East,Colonial States Athletic Conference,NCAA D3
New England College,"Henniker, New Hampshire",New England,North Atlantic Conference,NCAA D3
New Jersey City,"Jersey City, New Jersey",North East,Eastern College Athletic Conference,NCAA D3
New York,"New York, New York",North East,University Athletic Association,NCAA D3
Nichols College,"Dudley, Massachusetts",New England,Commonwealth Coast Football,NCAA D3
North Carolina Wesleyan College,"Rocky Mount, North Carolina",Mid East,USA South Athletic Conference,NCAA D3
North Central College,"Naperville, Illinois",Great Lakes,College Conference of Illinois and Wisconsin,NCAA D3
North Central,"Minneapolis, Minnesota",Mid West,Upper Midwest Athletic Conference,NCAA D3
North Park,"Chicago, Illinois",Great Lakes,College Conference of Illinois and Wisconsin,NCAA D3
Northern Vermont – Johnson,"Johnson, Vermont",New England,North Atlantic Conference,NCAA D3
Northern Vermont – Lyndon,"Lyndonville, Vermont",New England,North Atlantic Conference,NCAA D3
Northland College,"Ashland, Wisconsin",Great Lakes,Upper Midwest Athletic Conference,NCAA D3
Norwich,"Northfield, Vermont",New England,New England Women's & Men's Athletic Conference,NCAA D3
Oberlin College,"Oberlin, Ohio",Great Lakes,North Coast Athletic Conference,NCAA D3
Occidental College,"Los Angeles, California",West Coast,Southern California Intercollegiate Athletic Conference,NCAA D3
Oglethorpe,"Atlanta, Georgia",South East,Southern Athletic Association,NCAA D3
Ohio Northern,"Ada, Ohio",Great Lakes,Ohio Athletic Conference,NCAA D3
Ohio Wesleyan,"Delaware, Ohio",Great Lakes,North Coast Athletic Conference,NCAA D3
Olivet College,"Olivet, Michigan",Great Lakes,Michigan Intercollegiate Athletic Association,NCAA D3
Otterbein,"Westerville, Ohio",Great Lakes,Ohio Athletic Conference,NCAA D3
Pacific Lutheran,"Tacoma, Washington",West Coast,Division III Independents,NCAA D3
Pacific,"Forest Grove, Oregon",West Coast,Northwest Conference,NCAA D3
Penn State Abington,"Abington, Pennsylvania",North East,North Eastern Athletic Conference,NCAA D3
Penn State Altoona,"Altoona, Pennsylvania",North East,Allegheny Mountain Collegiate Conference,NCAA D3
Penn State Berks,"Reading, Pennsylvania",North East,United East,NCAA D3
Penn State Erie – The Behrend College,"Erie, Pennsylvania",North East,Allegheny Mountain Collegiate Conference,NCAA D3
Penn State Harrisburg,"Middletown, Pennsylvania",North East,United East,NCAA D3
Pennsylvania College of Technology,"Williamsport, Pennsylvania",North East,United East,NCAA D3
Pfeiffer,"Misenheimer, North Carolina",Mid East,USA South Athletic Conference,NCAA D3
Piedmont,"Demorest, Georgia",South East,USA South Athletic Conference,NCAA D3
Plymouth State,"Plymouth, New Hampshire",New England,Massachusetts State Collegiate Athletic Conference,NCAA D3
Pomona-Pitzer Colleges,"Claremont, California",West Coast,Southern California Intercollegiate Athletic Conference,NCAA D3
Pratt Institute,"Brooklyn, New York",North East,ECAC Hockey (Division III),NCAA D3
Principia College,"Elsah, Illinois",Great Lakes,St. Louis Intercollegiate Athletic Conference,NCAA D3
Ramapo College of New Jersey,"Mahwah, New Jersey",North East,New Jersey Athletic Conference,NCAA D3
Randolph College,"Lynchburg, Virginia",Mid East,Old Dominion Athletic Conference,NCAA D3
Randolph-Macon College,"Ashland, Virginia",Mid East,Old Dominion Athletic Conference,NCAA D3
Regis College,"Weston, Massachusetts",New England,Great Northeast Athletic Conference,NCAA D3
Rensselaer Polytechnic Institute – RPI,"Troy, New York",North East,Liberty League,NCAA D3
Rhode Island College,"Providence, Rhode Island",New England,Little East Conference,NCAA D3
Rhodes College,"Memphis, Tennessee",Mid East,Southern Athletic Association,NCAA D3
Ripon College,"Ripon, Wisconsin",Great Lakes,Midwest Conference,NCAA D3
Rivier,"Nashua, New Hampshire",New England,Great Northeast Athletic Conference,NCAA D3
Roanoke College,"Salem, Virginia",Mid East,Old Dominion Athletic Conference,NCAA D3
Rochester Institute of Technology,"Rochester, New York",North East,Liberty League,NCAA D3
Rockford,"Rockford, Illinois",Great Lakes,Northern Athletics Collegiate Conference,NCAA D3
Roger Williams,"Bristol, Rhode Island",New England,Commonwealth Coast Conference,NCAA D3
Rose-Hulman Institute of Technology,"Terre Haute, Indiana",Great Lakes,Heartland Collegiate Athletic Conference,NCAA D3
Rosemont College,"Rosemont, Pennsylvania",North East,Colonial States Athletic Conference,NCAA D3
Rowan,"Glassboro, New Jersey",North East,New Jersey Athletic Conference,NCAA D3
Russell Sage College,"Troy, New York",North East,Empire 8 Athletic Conference,NCAA D3
Rutgers – Newark,"Newark, New Jersey",North East,New Jersey Athletic Conference; Eastern College Athletic Conference; Eastern Intercollegiate Volleyball Association,NCAA D3
Saint Elizabeth,"Morristown, New Jersey",North East,North Eastern Athletic Conference,NCAA D3
Saint John's – Minnesota,"Collegeville, Minnesota",Mid West,Minnesota Intercollegiate Athletic Conference,NCAA D3
Saint Joseph's College of Maine,"Standish, Maine",New England,Great Northeast Athletic Conference,NCAA D3
Saint Mary's Minnesota,"Winona, Minnesota",Mid West,Minnesota Intercollegiate Athletic Conference,NCAA D3
SAINT VINCENT COLLEGE,"Latrobe, Pennsylvania",North East,Presidents' Athletic Conference,NCAA D3
Salem State,"Salem, Massachusetts",New England,Massachusetts State Collegiate Athletic Conference,NCAA D3
Salisbury,"Salisbury, Maryland",North East,Empire 8 Athletic Conference,NCAA D3
Salve Regina,"Newport, Rhode Island",New England,Commonwealth Coast Conference ,NCAA D3
Sarah Lawrence College,"Bronxville, New York",North East,Skyline Conference,NCAA D3
Schreiner,"Kerrville, Texas",Mid South,Southern Collegiate Athletic Conference,NCAA D3
Sewanee – The the South,"Sewanee, Tennessee",Mid East,Southern Athletic Association,NCAA D3
Shenandoah,"Winchester, Virginia",Mid East,Old Dominion Athletic Conference,NCAA D3
Simpson College,"Indianola, Iowa",Mid West,Iowa Intercollegiate Athletic Conference,NCAA D3
Skidmore College,"Saratoga Springs, New York",North East,Liberty League,NCAA D3
Southern Virginia,"Buena Vista, Virginia",Mid East,USA South,NCAA D3
Southwestern,"Georgetown, Texas",Mid South,Southern Collegiate Athletic Conference,NCAA D3
Spalding,"Louisville, Kentucky",Mid East,St. Louis Intercollegiate Athletic Conference,NCAA D3
Springfield College,"Springfield, Massachusetts",New England,"ECAC (Division III, Football I-AA), Eastern Intercollegiate Volleyball Association (Division III), Empire Eight (Division III), New England College Wrestling Association (Division III), New England Women's and Men's Athletic Conference (Division III), Pilgrim League (Division III)",NCAA D3
St. John Fisher College,"Rochester, New York",North East,Empire 8,NCAA D3
St. Joseph's College – Brooklyn,"Brooklyn, New York",North East,Skyline Conference,NCAA D3
St. Joseph's College – Long Island,"Patchogue, New York",North East,"Skyline Conference, Eastern College Athletic Conference",NCAA D3
St. Lawrence,"Canton, New York",North East,Liberty League,NCAA D3
St. Mary's College of Maryland,"St. Mary's City, Maryland",North East,United East ,NCAA D3
St. Norbert College,"De Pere, Wisconsin",Great Lakes,Midwest Conference,NCAA D3
St. Olaf College,"Northfield, Minnesota",Mid West,Minnesota Intercollegiate Athletic Conference,NCAA D3
Stevens Institute of Technology,"Hoboken, New Jersey",North East,Empire 8 Athletic Conference,NCAA D3
Stevenson,"Stevenson, Maryland",North East,Middle Atlantic Conference,NCAA D3
Stockton,"Galloway, New Jersey",North East,New Jersey Athletic Conference,NCAA D3
Suffolk,"Boston, Massachusetts",New England,Great Northeast Athletic Conference,NCAA D3
Sul Ross State,"Alpine, Texas",Mid South,American Southwest Conference,NCAA D3
SUNY Buffalo State College,"Buffalo, New York",North East,Empire 8 Athletic Conference,NCAA D3
SUNY Canton,"Canton, New York",North East,Independent,NCAA D3
SUNY College at Brockport,"Brockport, New York",North East,Empire 8 Athletic Conference,NCAA D3
SUNY College at Old Westbury,"Old Westbury, New York",North East,Skyline Conference,NCAA D3
SUNY College at Oneonta,"Oneonta, New York",North East,State University of New York Athletic Conference,NCAA D3
SUNY College of Agriculture & Technology at Cobleskill,"Cobleskill, New York",North East,North Atlantic Conference ,NCAA D3
SUNY Cortland,"Cortland, New York",North East,State University of New York Athletic Conference,NCAA D3
SUNY Farmingdale State College,"Farmingdale, New York",North East,Skyline Conference,NCAA D3
SUNY Fredonia,"Fredonia, New York",North East,State University of New York Athletic Conference,NCAA D3
SUNY Geneseo,"Geneseo, New York",North East,State University of New York Athletic Conference,NCAA D3
SUNY Maritime College,"Throggs Neck, New York",North East,Eastern Collegiate Football Conference,NCAA D3
SUNY Morrisville,"Morrisville, New York",North East,United East,NCAA D3
SUNY New Paltz,"New Paltz, New York",North East,State University of New York Athletic Conference,NCAA D3
SUNY Oswego,"Oswego, New York",North East,State University of New York Athletic Conference,NCAA D3
SUNY Plattsburgh,"Plattsburgh, New York",North East,State University of New York Athletic Conference,NCAA D3
SUNY Potsdam,"Potsdam, New York",North East,State University of New York Athletic Conference,NCAA D3
SUNY Purchase College,"Purchase, New York",North East,Skyline Conference,NCAA D3
Susquehanna,"Selinsgrove, Pennsylvania",North East,Centennial Conference,NCAA D3
Swarthmore College,"Swarthmore, Pennsylvania",North East,Centennial Conference,NCAA D3
Texas Lutheran,"Seguin, Texas",Mid South,Southern Collegiate Athletic Conference,NCAA D3
The College of New Jersey,"Ewing, New Jersey",North East,New Jersey Athletic Conference,NCAA D3
The College of St. Scholastica,"Duluth, Minnesota",Mid West,Upper Midwest Athletic Conference,NCAA D3
Thiel College,"Greenville, Pennsylvania",North East,Presidents' Athletic Conference,NCAA D3
Thomas College,"Waterville, Maine",New England,North Atlantic Conference,NCAA D3
Transylvania,"Lexington, Kentucky",Mid East,Heartland Collegiate Athletic Conference,NCAA D3
Trine,"Angola, Indiana",Great Lakes,Michigan Intercollegiate Athletic Association,NCAA D3
Trinity College – Connecticut,"Hartford, Connecticut",New England,New England Small College Athletic Conference,NCAA D3
Trinity – Texas,"San Antonio, Texas",Mid South,Southern Athletic Association,NCAA D3
Tufts,"Medford, Massachusetts",New England,New England Small College Athletic Conference,NCAA D3
Union College – New York,"Schenectady, New York",North East,Liberty League,NCAA D3
United States Coast Guard Academy,"New London, Connecticut",New England,New England Women's & Men's Athletic Conference,NCAA D3
United States Merchant Marine Academy,"Kings Point, New York",North East,New England Women's & Men's Athletic Conference,NCAA D3
California – Santa Cruz,"Santa Cruz, California",West Coast,Division III Independents,NCAA D3
Chicago,"Chicago, Illinois",Great Lakes,Midwest Conference,NCAA D3
Dallas,"Irving, Texas",Mid South,Southern Collegiate Athletic Conference,NCAA D3
Dubuque,"Dubuque, Iowa",Mid West,Iowa Intercollegiate Athletic Conference,NCAA D3
University of Hartford,"West Hartford, Connecticut",New England,America East Conference,NCAA D3
La Verne,"La Verne, California",West Coast,Southern California Intercollegiate Athletic Conference,NCAA D3
Lynchburg,"Lynchburg, Virginia",Mid East,Old Dominion Athletic Conference,NCAA D3
Maine at Farmington,"Farmington, Maine",New England,North Atlantic Conference,NCAA D3
Maine at Presque Isle,"Presque Isle, Maine",New England,North Atlantic Conference ,NCAA D3
Mary Hardin-Baylor,"Belton, Texas",Mid South,American Southwest Conference,NCAA D3
Mary Washington,"Fredericksburg, Virginia",Mid East,Capital Athletic Conference,NCAA D3
Massachusetts – Boston,"Boston, Massachusetts",New England,Little East Conference,NCAA D3
Massachusetts – Dartmouth,"North Dartmouth, Massachusetts",New England,Massachusetts State Collegiate Athletic Conference,NCAA D3
Minnesota – Morris,"Morris, Minnesota",Mid West,Upper Midwest Athletic Conference,NCAA D3
Mount Union,"Alliance, Ohio",Great Lakes,Ohio Athletic Conference,NCAA D3
New England,"Biddeford, Maine",New England,Commonwealth Coast Conference,NCAA D3
Northwestern – St. Paul,"Saint Paul, Minnesota",Mid West,Upper Midwest Athletic Conference,NCAA D3
Pittsburgh – Bradford,"Bradford, Pennsylvania",North East,Allegheny Mountain Collegiate Conference,NCAA D3
Pittsburgh – Greensburg,"Greensburg, Pennsylvania",North East,Allegheny Mountain Collegiate Conference,NCAA D3
Puget Sound,"Tacoma, Washington",West Coast,Northwest Conference,NCAA D3
Redlands,"Redlands, California",West Coast,Southern California Intercollegiate Athletic Conference,NCAA D3
Rochester,"Rochester, New York",North East,University Athletic Association,NCAA D3
Saint Joseph,"West Hartford, Connecticut",New England,Great Northeast Athletic Conference,NCAA D3
Scranton,"Scranton, Pennsylvania",North East,Landmark Conference,NCAA D3
Southern Maine,"Portland, Maine",New England,Little East Conference,NCAA D3
St. Thomas – Texas,"Houston, Texas",Mid South,Red River Athletic Conference,NCAA D3
Texas at Dallas,"Richardson, Texas",Mid South,American Southwest Conference,NCAA D3
the Ozarks,"Clarksville, Arkansas",Mid South,American Southwest Conference,NCAA D3
Wisconsin – Eau Claire,"Eau Claire, Wisconsin",Great Lakes,Wisconsin Intercollegiate Athletic Conference,NCAA D3
Wisconsin – La Crosse,"La Crosse, Wisconsin",Great Lakes,Wisconsin Intercollegiate Athletic Conference,NCAA D3
Wisconsin – Oshkosh,"Oshkosh, Wisconsin",Great Lakes,Wisconsin Intercollegiate Athletic Conference,NCAA D3
Wisconsin – Platteville,"Platteville, Wisconsin",Great Lakes,Wisconsin Intercollegiate Athletic Conference,NCAA D3
Wisconsin – River Falls,"River Falls, Wisconsin",Great Lakes,Wisconsin Intercollegiate Athletic Conference,NCAA D3
UNIVERSITY OF WISCONSIN-STEVENS POINT,"Stevens Point, Wisconsin",Great Lakes,Wisconsin Intercollegiate Athletic Conference,NCAA D3
Wisconsin – Stout,"Menomonie, Wisconsin",Great Lakes,Wisconsin Intercollegiate Athletic Conference,NCAA D3
Wisconsin – Superior,"Superior, Wisconsin",Great Lakes,UMAC,NCAA D3
Wisconsin – Whitewater,"Whitewater, Wisconsin",Great Lakes,Wisconsin Intercollegiate Athletic Conference,NCAA D3
Ursinus College,"Collegeville, Pennsylvania",North East,Centennial Conference,NCAA D3
Utica College,"Utica, New York",North East,Empire 8 Athletic Conference,NCAA D3
Vassar College,"Poughkeepsie, New York",North East,Liberty League,NCAA D3
Virginia Wesleyan,"Norfolk, Virginia",Mid East,Old Dominion Athletic Conference,NCAA D3
Wabash College,"Crawfordsville, Indiana",Great Lakes,North Coast Athletic Conference,NCAA D3
Warren Wilson College,"Swannanoa, North Carolina",Mid East,Eastern Metro Athletic Conference,NCAA D3
Wartburg College,"Waverly, Iowa",Mid West,Iowa Intercollegiate Athletic Conference,NCAA D3
Washington & Jefferson College,"Washington, Pennsylvania",North East,Presidents' Athletic Conference,NCAA D3
Washington & Lee,"Lexington, Virginia",Mid East,Old Dominion Athletic Conference,NCAA D3
Washington College,"Chestertown, Maryland",North East,Centennial Conference,NCAA D3
Washington in St. Louis,"Saint Louis, Missouri",Mid West,University Athletic Association,NCAA D3
Waynesburg,"Waynesburg, Pennsylvania",North East,Presidents' Athletic Conference,NCAA D3
Webster,"Saint Louis, Missouri",Mid West,St. Louis Intercollegiate Athletic Conference,NCAA D3
Wells College,"Aurora, New York",North East,United East ,NCAA D3
Wentworth Institute of Technology,"Boston, Massachusetts",New England,Commonwealth Coast Conference,NCAA D3
Wesleyan,"Middletown, Connecticut",New England,New England Small College Athletic Conference,NCAA D3
Western Connecticut State,"Danbury, Connecticut",New England,MASAC,NCAA D3
Western New England,"Springfield, Massachusetts",New England,Commonwealth Coast Conference ,NCAA D3
Westfield State,"Westfield, Massachusetts",New England,MSCAC,NCAA D3
Westminster College – Missouri,"Fulton, Missouri",Mid West,Upper Midwest Athletic Conference,NCAA D3
Westminster College – Pennsylvania,"New Wilmington, Pennsylvania",North East,Presidents' Athletic Conference,NCAA D3
Wheaton College – Illinois,"Wheaton, Illinois",Great Lakes,College Conference of Illinois and Wisconsin,NCAA D3
Wheaton College – Massachusetts,"Norton, Massachusetts",New England,New England Women's & Men's Athletic Conference,NCAA D3
Whitman College,"Walla Walla, Washington",West Coast,Northwest Conference,NCAA D3
Whittier College,"Whittier, California",West Coast,Southern California Intercollegiate Athletic Conference,NCAA D3
Whitworth,"Spokane, Washington",West Coast,Northwest Conference,NCAA D3
Widener,"Chester, Pennsylvania",North East,Middle Atlantic Conferences,NCAA D3
Wilkes,"Wilkes-Barre, Pennsylvania",North East,Middle Atlantic Conferences,NCAA D3
Willamette,"Salem, Oregon",West Coast,Northwest Conference,NCAA D3
WILLIAM PATERSON UNIVERSITY,"Wayne, New Jersey",North East,New Jersey Athletic Conference,NCAA D3
William Peace,"Raleigh, North Carolina",Mid East,USA South Athletic Conference,NCAA D3
Williams College,"Williamstown, Massachusetts",New England,New England Small College Athletic Conference,NCAA D3
Blinn College,,,,Community College/Not Listed
Xavier,,,,NCAA D1
INDIAN HILLS COMMUNITY COLLEGE,,,,Community College/Not Listed
OKALOOSA-WALTON COMMUNITY COLLEGE,,,,Community College/Not Listed
Yale,,,,NCAA D1
WINGATE UNIVERSITY,,,,NCAA D2
BUTLER COUNTY COMMUNITY COLLEGE,,,,Community College/Not Listed
MIDLAND COLLEGE,,,,Community College/Not Listed
ROBERT MORRIS UNIVERSITY (IL),,,,Community College/Not Listed
TRINITY VALLEY CC,,,,Community College/Not Listed
TYLER JUNIOR COLLEGE,,,,Community College/Not Listed
VANIER COLLEGE,,,,Community College/Not Listed
WESTCHESTER CC,,,,Community College/Not Listed
MERIDIAN COMMUNITY COLLEGE,,,,Community College/Not Listed
MOBERLY AREA COMMUNITY COLLEGE,,,,Community College/Not Listed
MASTER'S COLLEGE,,,,Community College/Not Listed
WRIGHT STATE UNIVERSITY,,,,NCAA D1
BARTON COUNTY COMMUNITY COLLEGE,,,,Community College/Not Listed
NORTHEAST MISSISSIPPI COMMUNITY COLLEGE,,,,Community College/Not Listed
NEW MEXICO MILITARY INSTITUTE,,,,Community College/Not Listed
JOHN A. LOGAN COLLEGE,,,,Community College/Not Listed
SOUTHEASTERN ILLINOIS COLLEGE,,,,Community College/Not Listed
BRIGHAM YOUNG UNIVERSITY HAWAII,,,,NCAA D2
